locus_tag,Accession,Entry Name,Reviewed,Protein names,Gene Names,Organism,Length
ASAN02232_LOCUS262,A0A7S2QWW6,A0A7S2QWW6_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS262,Akashiwo sanguinea,105
ASAN02232_LOCUS264,A0A7S2QX72,A0A7S2QX72_9DINO,unreviewed,Secreted protein,ASAN02232_LOCUS264,Akashiwo sanguinea,121
ASAN02232_LOCUS266,A0A7S2VXE1,A0A7S2VXE1_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS266,Akashiwo sanguinea,131
ASAN02232_LOCUS267,A0A7S2VX59,A0A7S2VX59_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS267,Akashiwo sanguinea,143
ASAN02232_LOCUS268,A0A7S2QWR0,A0A7S2QWR0_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS268,Akashiwo sanguinea,144
ASAN02232_LOCUS275,A0A7S2QWX3,A0A7S2QWX3_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS275,Akashiwo sanguinea,134
ASAN02232_LOCUS276,A0A7S2QWT0,A0A7S2QWT0_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS276,Akashiwo sanguinea,136
ASAN02232_LOCUS277,A0A7S2QWU5,A0A7S2QWU5_9DINO,unreviewed,ABC transmembrane type-1 domain-containing protein,ASAN02232_LOCUS277,Akashiwo sanguinea,107
ASAN02232_LOCUS279,A0A7S2VX09,A0A7S2VX09_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS279,Akashiwo sanguinea,141
ASAN02232_LOCUS280,A0A7S2VWF7,A0A7S2VWF7_9DINO,unreviewed,Transmembrane protein,ASAN02232_LOCUS280,Akashiwo sanguinea,108
ASAN02232_LOCUS282,A0A7S2QWV1,A0A7S2QWV1_9DINO,unreviewed,Peridinin chlorophyll-a binding protein apoprotein,ASAN02232_LOCUS282,Akashiwo sanguinea,293
ASAN02232_LOCUS283,A0A7S2QWY5,A0A7S2QWY5_9DINO,unreviewed,AP2/ERF domain-containing protein,ASAN02232_LOCUS283,Akashiwo sanguinea,121
ASAN02232_LOCUS286,A0A7S2QWT1,A0A7S2QWT1_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS286,Akashiwo sanguinea,108
ASAN02232_LOCUS287,A0A7S2QWV0,A0A7S2QWV0_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS287,Akashiwo sanguinea,99
ASAN02232_LOCUS288,A0A7S2VWX8,A0A7S2VWX8_9DINO,unreviewed,Secreted protein,ASAN02232_LOCUS288,Akashiwo sanguinea,99
ASAN02232_LOCUS289,A0A7S2QWT2,A0A7S2QWT2_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS289,Akashiwo sanguinea,198
ASAN02232_LOCUS291,A0A7S2QX37,A0A7S2QX37_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS291,Akashiwo sanguinea,132
ASAN02232_LOCUS292,A0A7S2QX03,A0A7S2QX03_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS292,Akashiwo sanguinea,118
ASAN02232_LOCUS293,A0A7S2QX92,A0A7S2QX92_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS293,Akashiwo sanguinea,113
ASAN02232_LOCUS294,A0A7S2VWY3,A0A7S2VWY3_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS294,Akashiwo sanguinea,106
ASAN02232_LOCUS295,A0A7S2VWG5,A0A7S2VWG5_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS295,Akashiwo sanguinea,195
ASAN02232_LOCUS296,A0A7S2VXF7,A0A7S2VXF7_9DINO,unreviewed,Deltamethrin resistance protein prag01 domain-containing protein,ASAN02232_LOCUS296,Akashiwo sanguinea,110
ASAN02232_LOCUS301,A0A7S2QX45,A0A7S2QX45_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS301,Akashiwo sanguinea,99
ASAN02232_LOCUS304,A0A7S2QWW2,A0A7S2QWW2_9DINO,unreviewed,Heat shock protein 70,ASAN02232_LOCUS304,Akashiwo sanguinea,144
ASAN02232_LOCUS305,A0A7S2QWV2,A0A7S2QWV2_9DINO,unreviewed,Major facilitator superfamily (MFS) profile domain-containing protein,ASAN02232_LOCUS305,Akashiwo sanguinea,218
ASAN02232_LOCUS306,A0A7S2QWW8,A0A7S2QWW8_9DINO,unreviewed,Transmembrane protein,ASAN02232_LOCUS306,Akashiwo sanguinea,175
ASAN02232_LOCUS307,A0A7S2VX85,A0A7S2VX85_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS307,Akashiwo sanguinea,102
ASAN02232_LOCUS308,A0A7S2QWX8,A0A7S2QWX8_9DINO,unreviewed,Transposase,ASAN02232_LOCUS308,Akashiwo sanguinea,101
ASAN02232_LOCUS309,A0A7S2QY53,A0A7S2QY53_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS309,Akashiwo sanguinea,115
ASAN02232_LOCUS310,A0A7S2QX51,A0A7S2QX51_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS310,Akashiwo sanguinea,117
ASAN02232_LOCUS312,A0A7S2QWW3,A0A7S2QWW3_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS312,Akashiwo sanguinea,102
ASAN02232_LOCUS313,A0A7S2VWZ4,A0A7S2VWZ4_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS313,Akashiwo sanguinea,116
ASAN02232_LOCUS317,A0A7S2VXG7,A0A7S2VXG7_9DINO,unreviewed,DUF2382 domain-containing protein,ASAN02232_LOCUS317,Akashiwo sanguinea,112
ASAN02232_LOCUS318,A0A7S2QWZ0,A0A7S2QWZ0_9DINO,unreviewed,"ADP/ATP translocase (ADP,ATP carrier protein)",ASAN02232_LOCUS318,Akashiwo sanguinea,228
ASAN02232_LOCUS319,A0A7S2QX20,A0A7S2QX20_9DINO,unreviewed,Secreted protein,ASAN02232_LOCUS319,Akashiwo sanguinea,102
ASAN02232_LOCUS320,A0A7S2QX31,A0A7S2QX31_9DINO,unreviewed,Secreted protein,ASAN02232_LOCUS320,Akashiwo sanguinea,101
ASAN02232_LOCUS321,A0A7S2QWY3,A0A7S2QWY3_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS321,Akashiwo sanguinea,104
ASAN02232_LOCUS322,A0A7S2QWX6,A0A7S2QWX6_9DINO,unreviewed,Secreted protein,ASAN02232_LOCUS322,Akashiwo sanguinea,114
ASAN02232_LOCUS324,A0A7S2VX01,A0A7S2VX01_9DINO,unreviewed,S-adenosyl-L-homocysteine hydrolase NAD binding domain-containing protein,ASAN02232_LOCUS324,Akashiwo sanguinea,137
ASAN02232_LOCUS325,A0A7S2VX98,A0A7S2VX98_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS325,Akashiwo sanguinea,100
ASAN02232_LOCUS326,A0A7S2QWX7,A0A7S2QWX7_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS326,Akashiwo sanguinea,109
ASAN02232_LOCUS327,A0A7S2QX01,A0A7S2QX01_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS327,Akashiwo sanguinea,110
ASAN02232_LOCUS328,A0A7S2QX30,A0A7S2QX30_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS328,Akashiwo sanguinea,110
ASAN02232_LOCUS331,A0A7S2VX06,A0A7S2VX06_9DINO,unreviewed,Secreted protein,ASAN02232_LOCUS331,Akashiwo sanguinea,105
ASAN02232_LOCUS332,A0A7S2QY78,A0A7S2QY78_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS332,Akashiwo sanguinea,112
ASAN02232_LOCUS334,A0A7S2QX57,A0A7S2QX57_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS334,Akashiwo sanguinea,103
ASAN02232_LOCUS335,A0A7S2QXD8,A0A7S2QXD8_9DINO,unreviewed,Uncharacterized protein,ASAN02232_LOCUS335,Akashiwo sanguinea,108
